1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
1,1,1,2,2,2,2,3,3,3,2,2,2,4,4,4,4,4,4,2,2,2,2,2,2,2,5,5,
1,1,1,3,3,3,3,3,3,3,2,2,2,4,4,4,4,4,4,2,2,2,2,2,2,2,5,5,
1,1,1,3,3,3,3,3,3,3,2,2,2,4,4,4,4,4,4,2,2,2,2,2,2,2,5,5,
1,1,1,3,3,3,3,3,3,3,2,2,2,4,4,4,4,4,4,2,2,2,2,2,2,2,5,5,
1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,
1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,
1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,
1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,
1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,
6,6,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,5,5,4,4,4,4,5,5,5,5,5,
6,6,1,1,1,1,1,6,6,6,6,6,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,
6,6,1,1,1,6,6,6,6,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,
6,6,1,1,1,6,6,6,6,3,3,3,3,3,3,7,7,5,5,8,8,8,8,8,8,8,8,8,
6,6,6,6,6,6,6,6,6,3,3,3,7,7,7,7,7,5,5,8,8,8,8,8,8,8,8,8,
6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,5,5,8,8,8,8,8,8,8,8,8,
6,9,9,9,9,9,9,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,
6,9,9,9,9,9,9,6,6,9,9,9,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,
6,6,6,6,6,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,8,8,8,8,8,8,
6,6,6,6,6,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,8,8,8,8,8,8,
6,6,6,6,6,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,7,8,8,8,8,
6,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,7,8,8,8,8,
6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,8,8,8,8,
